Mose	Mos	3	1	1 	Und der HERR rief Mose und redete mit ihm aus der Stiftshütte und sprach:
Mose	Mos	3	1	2 	Rede mit den Kindern Israel und sprich zu ihnen: Wer unter euch dem HERRN ein Opfer darbringen will, der bringe es von dem Vieh, von Rindern oder von Schafen und Ziegen.
Mose	Mos	3	1	3 	Will er ein Brandopfer darbringen von Rindern, so opfere er ein männliches Tier, das ohne Fehler ist, vor der Tür der Stiftshütte, damit es ihn wohlgefällig mache vor dem HERRN,
Mose	Mos	3	1	4 	und lege seine Hand auf den Kopf des Brandopfers, damit es ihn wohlgefällig mache und für ihn Sühne schaffe.
Mose	Mos	3	1	5 	Dann soll er das Rind schlachten vor dem HERRN, und die Priester, Aarons Söhne, sollen das Blut herzubringen und ringsum an den Altar sprengen, der vor der Tür der Stiftshütte ist.
Mose	Mos	3	1	6 	Und er soll dem Brandopfer das Fell abziehen und es in seine Stücke zerlegen.
Mose	Mos	3	1	7 	Und die Priester, Aarons Söhne, sollen ein Feuer auf dem Altar machen und Holz oben darauf legen
Mose	Mos	3	1	8 	und sollen die Stücke samt dem Kopf und dem Fett auf das Holz legen, das über dem Feuer auf dem Altar liegt.
Mose	Mos	3	1	9 	Die Eingeweide aber und die Schenkel soll er mit Wasser waschen, und der Priester soll das alles auf dem Altar in Rauch aufgehen lassen. Das ist ein Brandopfer, ein Feueropfer zum lieblichen Geruch für den HERRN.
Mose	Mos	3	1	10 	Will er aber von Schafen oder Ziegen ein Brandopfer darbringen, so opfere er ein männliches Tier, das ohne Fehler ist.
Mose	Mos	3	1	11 	Und er schlachte es an der Seite des Altars nach Norden zu vor dem HERRN. Und die Priester, Aarons Söhne, sollen das Blut ringsum an den Altar sprengen.
Mose	Mos	3	1	12 	Und er zerlege es in seine Stücke, und der Priester soll sie samt dem Kopf und dem Fett auf das Holz über dem Feuer legen, das auf dem Altar ist.
Mose	Mos	3	1	13 	Aber die Eingeweide und die Schenkel soll er mit Wasser waschen, und der Priester soll das alles auf dem Altar opfern und in Rauch aufgehen lassen. Das ist ein Brandopfer, ein Feueropfer zum lieblichen Geruch für den HERRN.
Mose	Mos	3	1	14 	Will er aber von Vögeln dem HERRN ein Brandopfer darbringen, so bringe er's von Turteltauben oder andern Tauben.
Mose	Mos	3	1	15 	Und der Priester soll's zum Altar bringen und ihm den Kopf abknicken und – er soll es ja auf dem Altar in Rauch aufgehen lassen – das Blut ausbluten lassen an der Wand des Altars.
Mose	Mos	3	1	16 	Und den Kropf mit seinem Inhalt soll man neben dem Altar nach Osten zu auf den Aschenhaufen werfen
Mose	Mos	3	1	17 	und soll seine Flügel einreißen, aber nicht abbrechen. Und so soll's der Priester auf dem Altar in Rauch aufgehen lassen auf dem Holz über dem Feuer. Das ist ein Brandopfer, ein Feueropfer zum lieblichen Geruch für den HERRN.
Mose	Mos	3	2	1 	Wenn jemand dem HERRN ein Speisopfer darbringen will, so soll es von feinstem Mehl sein, und er soll Öl darauf gießen und Weihrauch darauf legen
Mose	Mos	3	2	2 	und es bringen zu den Priestern, Aarons Söhnen. Und der Priester soll eine Handvoll nehmen von dem Mehl und Öl samt dem ganzen Weihrauch und es als Gedenkopfer in Rauch aufgehen lassen auf dem Altar als ein Feueropfer zum lieblichen Geruch für den HERRN.
Mose	Mos	3	2	3 	Das übrige aber vom Speisopfer soll Aaron und seinen Söhnen gehören als ein Hochheiliges von den Feueropfern des HERRN.
Mose	Mos	3	2	4 	Willst du aber als Speisopfer etwas im Ofen Gebackenes darbringen, so nimm Kuchen von feinstem Mehl, ungesäuert, mit Öl vermengt, oder ungesäuerte Fladen, mit Öl bestrichen.
Mose	Mos	3	2	5 	Ist aber dein Speisopfer etwas auf der Pfanne Gebackenes, so soll's von ungesäuertem Mehl sein, mit Öl vermengt,
Mose	Mos	3	2	6 	und du sollst es in Stücke zerteilen und Öl darauf gießen. Das ist ein Speisopfer.
